EmoClass,EmoInt,AvgEmoAct,StdEmoAct
A,high,5.590964338281652,0.5331907020936518
A,low,3.720761647591224,0.6643219841851381
A,medium,4.482338580456409,0.6792217819945999
D,high,3.7095338800451256,0.8819533074112436
D,low,2.720996014364473,0.6094850370339452
D,medium,3.526327837954511,0.8140456726066222
F,high,4.797949177878244,0.846520850664159
F,low,2.546960228092068,0.5965382802376744
F,medium,2.8688043860288768,0.9852137678883351
H,high,4.446686802329598,0.8511310979301064
H,low,3.1993590082441057,0.5973408820654574
H,medium,3.4207291236290565,0.7084387075467201
S,high,1.9487970477932102,1.9789174215712368
S,low,1.8615332055877853,1.1209217363185318
S,medium,2.1656677460932467,0.6077250619895629
